question_id,difficulty_2pl,discrimination_2pl,irt_method,n_responses,difficulty_logit,discrimination
011b09a6-1374-4ca5-bdc6-8f98dcaad70b,-1.006006575755872,1.5461800691564214,em_mml_2pl,725,-1.0567499433071974,0.5186163567201296
025c31e3-2baa-4c27-b276-f3aa62b1bb89,1.2401717232054363,0.542036712362599,em_mml_2pl,707,0.5970398703826024,0.27891549539835125
0261f765-8516-4ad1-8630-043cf48465d3,0.026325403285858286,1.5110876237032782,em_mml_2pl,40,-0.2006706954621514,0.0653645114131167
02e93e4d-980a-4e30-8377-d1645ea07fac,-0.031136990582392745,1.7227741521239244,em_mml_2pl,90,0.4054651081081643,0.3946142328819997
0712a553-a972-4776-9197-d39e2aa5dcb6,-0.18778699704890606,0.5881065495176623,em_mml_2pl,715,-0.1316583821500004,0.32284889620485496
089b2acd-ccf2-4188-a2dc-8932d4e6caf5,-0.6231011116251286,1.0842499005673605,em_mml_2pl,706,-0.5518336474933677,0.48008060936537966
08b758c3-7842-4d3c-97a9-621ed3a2167a,-2.5622533323533165,0.2,em_mml_2pl,37,0.0540672212702757,0.316041066042099
09aa518d-551a-4c81-a268-cbc846f505b6,-0.48026103590538494,3.5,em_mml_2pl,712,-0.5228287686273464,0.7970261763627543
09e5055e-66f4-4bfe-bba3-f887cfbac5b0,-0.3958835422682272,1.7039638945718283,em_mml_2pl,719,-0.41474591718263726,0.625069044637892
0a2d2aa0-5dae-4a96-8c6a-634ba2d5baaf,-5.0,0.2,em_mml_2pl,37,-1.287854288306638,0.2515581280291257
0a4a87ee-23f6-486f-b472-4180c9c3c15a,-0.4780444568859698,0.7057038859352991,em_mml_2pl,716,-0.3269027856050624,0.3664839862471544
0a507974-175e-47ab-95a5-7a13d601b774,-0.7073818466760547,1.4460667270212715,em_mml_2pl,35,-1.0608719606852628,0.2997030334109868
0ab2fe74-151f-432a-a98f-7ec00b9e77cd,-1.1684795587708505,1.559077168079372,em_mml_2pl,82,-1.3411739258394213,0.4430649306323366
0ae9b85e-5cfc-478c-b0a3-108aebfaec79,-1.007281564518363,0.9442084329474211,em_mml_2pl,36,-0.9555114450274362,0.3175589948159571
0bc8a2f4-9a55-4e0b-b9ec-bb4c55e6a33f,-0.378311109050664,2.0096287847535526,em_mml_2pl,722,-0.41008405396445907,0.6919946369714338
0d3819a1-d618-4081-804c-8681be0037f6,-0.27226945292632493,0.9560378137059855,em_mml_2pl,83,0.02409755157906064,0.32782275639389835
0f661252-a089-44ca-9ab4-7b258035f44d,-5.0,0.2,em_mml_2pl,36,-0.6931471805599452,0.0
0f77e48a-4ad9-425d-a047-c322c93f10f4,-0.13346687585852993,2.113755634916341,em_mml_2pl,33,-0.3053816495511821,0.4013007119900928
1043c99c-67f3-4e93-bc35-c661af7c4153,-0.2716179113564045,1.1704216038210133,em_mml_2pl,685,-0.26133120652437725,0.5052600353697435
10ab7a09-a2c1-4861-8e05-98fd1523f753,5.0,0.2,em_mml_2pl,34,1.1786549963416462,0.07135326609095557
13405d77-0590-40da-b1d8-02f065234232,-0.638310805207553,1.0898346660770004,em_mml_2pl,721,-0.5667060821604475,0.4722313197298099
